Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region V (Bicol Region),Moderate,PH050000000,SORSOGON,PH056200000,1789,845718,212.0,2.326335860928751
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,ALBAY,PH050500000,859,1396088,62.0,1.792391689498254
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CAMARINES NORTE,PH051600000,452,622514,73.0,1.863322860120456
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CAMARINES SUR,PH051700000,1445,2059495,71.0,1.8512583487190752
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,CATANDUANES,PH052000000,217,272941,80.0,1.9030899869919435
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,MASBATE,PH054100000,454,937079,49.0,1.6901960800285136
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,SORSOGON,PH056200000,552,845718,66.0,1.8195439355418688
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,AKLAN,PH060400000,13105,605584,2165.0,3.3354579006893843
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,ANTIQUE,PH060600000,16907,612454,2761.0,3.4410664066392633
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,CAPIZ,PH061900000,16235,803083,2022.0,3.3057811512549824
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,GUIMARAS,PH067900000,2654,185174,1434.0,3.1565491513317814
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,ILOILO,PH063000000,47787,2524211,1894.0,3.2773799746672547
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,NEGROS OCCIDENTAL,PH064500000,33379,3174389,1052.0,3.02201573981772
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,AKLAN,PH060400000,1720,605584,285.0,2.45484486000851
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,ANTIQUE,PH060600000,2261,612454,370.0,2.568201724066995
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,CAPIZ,PH061900000,1911,803083,238.0,2.376576957056512
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,GUIMARAS,PH067900000,389,185174,211.0,2.3242824552976926
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,ILOILO,PH063000000,6968,2524211,277.0,2.4424797690644486
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,NEGROS OCCIDENTAL,PH064500000,4821,3174389,152.0,2.1818435879447726
Cognitive Disability,Region VI (Western Visayas),Severe,PH060000000,AKLAN,PH060400000,604,605584,100.0,2.0
