Disability,Region,Population,age/ave_affected,age affection
Mobility Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,66867
Self-Care Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,16344
Visual Disability,Region II (Cagayan Valley),3657746,Age: 55-80+,179795
Cognitive Disability,Region III (Central Luzon),12313714,Age: 55-80+,70476
Communication Disability,Region III (Central Luzon),12313714,Age: 55-80+,28034
Hearing Disability,Region III (Central Luzon),12313714,Age: 55-80+,136083
Mobility Disability,Region III (Central Luzon),12313714,Age: 55-80+,153675
Self-Care Disability,Region III (Central Luzon),12313714,Age: 55-80+,40361
Visual Disability,Region III (Central Luzon),12313714,Age: 55-80+,465966
Cognitive Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,82689
Communication Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,33136
Hearing Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,148885
