Disability,Region,Status,RegCode_New,Province,Household Population 5 Years Old and Over with Functional Difficulty,Province_pcode,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,Region V (Bicol Region),Severe,PH050000000,SORSOGON,552,PH056200000,845718,66.0,1.8195439355418688
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,AKLAN,13105,PH060400000,605584,2165.0,3.3354579006893843
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,ANTIQUE,16907,PH060600000,612454,2761.0,3.4410664066392633
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,CAPIZ,16235,PH061900000,803083,2022.0,3.3057811512549824
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,GUIMARAS,2654,PH067900000,185174,1434.0,3.1565491513317814
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,ILOILO,47787,PH063000000,2524211,1894.0,3.2773799746672547
Cognitive Disability,Region VI (Western Visayas),Mild,PH060000000,NEGROS OCCIDENTAL,33379,PH064500000,3174389,1052.0,3.02201573981772
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,AKLAN,1720,PH060400000,605584,285.0,2.45484486000851
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,ANTIQUE,2261,PH060600000,612454,370.0,2.568201724066995
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,CAPIZ,1911,PH061900000,803083,238.0,2.376576957056512
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,GUIMARAS,389,PH067900000,185174,211.0,2.3242824552976926
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,ILOILO,6968,PH063000000,2524211,277.0,2.4424797690644486
Cognitive Disability,Region VI (Western Visayas),Moderate,PH060000000,NEGROS OCCIDENTAL,4821,PH064500000,3174389,152.0,2.1818435879447726
Cognitive Disability,Region VI (Western Visayas),Severe,PH060000000,AKLAN,604,PH060400000,605584,100.0,2.0
